k,P
1,1.157528295436805e-9
2,3.828580729054348e-9
3,3.828580729054348e-9
4,6.541717390007307e-9
5,2.0001113672403193e-8
6,2.0001113672403193e-8
7,1.0824615854214769e-7
8,1.0824615854214769e-7
9,6.110091759552801e-7
10,6.110091759552801e-7
11,3.285672411349497e-6
12,3.285672411349497e-6
13,1.559062071426603e-5
14,1.559062071426603e-5
15,6.372331382697993e-5
16,0.0002485714080084911
17,0.0013229751311334415
18,0.009913998847585592
19,0.15596897265567333
20,2485.222112540963
